Bayanda Maseko | operation count = 1
Siphesihle Mudau | operation count = 78
Letlotlo Maluleke | operation count = 79
Lethokuhle Khumalo | operation count = 80
Lingomso Jack | operation count = 81
Faith Booi | operation count = 82
Oratilwe Ngwenya | operation count = 83
Lesedi Mkhize | operation count = 84
Siyabonga Shabangu | operation count = 85
Esihle Madikizela | operation count = 86
Luphawu Booi | operation count = 87
Ayabonga Ndou | operation count = 88
Elijah Mosia | operation count = 89
Banele Mofokeng | operation count = 90
Nkosenhle Petersen | operation count = 91
Alwande Smith | operation count = 92
Tshegofatso Mofokeng | operation count = 93
Sphesihle Mnisi | operation count = 94
Othalive Olyn | operation count = 62
Thato Olyn | operation count = 96
Tshegofatso Baloyi | operation count = 97
Thandolwethu Modise | operation count = 98
Okuhle Mthembu | operation count = 99
Rethabile Motloung | operation count = 100
Amohelang Dlamini | operation count = 101
Bonolo Nhlapo | operation count = 102
Karabo Visagie | operation count = 103
Bandile Shabangu | operation count = 64
Alunamda Motloung | operation count = 105
Siphosethu Visagie | operation count = 106
Nkosenhle Tsotetsi | operation count = 107
Siphesihle Mathebula | operation count = 108
Kamohelo Klaas | operation count = 109
Luphawu Tsotetsi | operation count = 110
Lisakhanya Mohlala | operation count = 111
Kungawo Tsotetsi | operation count = 27
Lisakhanya Radebe | operation count = 113
Alunamda Jack | operation count = 114
Ava Louw | operation count = 115
Amogelang Nkosi | operation count = 116
Remofilwe Mnisi | operation count = 117
Ofentse Madikizela | operation count = 118
Phenyo Davids | operation count = 119
Lisakhanya Ngobeni | operation count = 120
Junior Ngwenya | operation count = 121
Warona Beukes | operation count = 122
Jayden Madikizela | operation count = 123
Lethabo Nhlapo | operation count = 124
Liam Jack | operation count = 125
Alwande Dyantyi | operation count = 126
Omaatla Witbooi | operation count = 127
Likuwe Beukes | operation count = 128
Luthando Chauke | operation count = 129
Angel Mokoena | operation count = 130
Mia Khumalo | operation count = 131
Noah Baloyi | operation count = 132
Kamohelo Ndou | operation count = 133
Luphawu Nkuna | operation count = 134
Noah Williams | operation count = 135
Oratilwe Ngwenya | operation count = 83
Lingomso Peter | operation count = 137
Siphesihle Nhlapo | operation count = 138
Remofilwe Mogale | operation count = 139
Othalive Radebe | operation count = 140
Bokamoso Nkosi | operation count = 141
Luphawu Malatji | operation count = 142
Alunamda Petersen | operation count = 143
Relebohile Baloyi | operation count = 144
Lisakhanya Radebe | operation count = 113
Noah Tshabalala | operation count = 146
Asemahle Ngcobo | operation count = 147
Ava Mohlala | operation count = 148
Esihle Mokoena | operation count = 149
Lingomso Motloung | operation count = 150
Lethabo Petersen | operation count = 151
Siphesihle Modise | operation count = 152
Emihle Ndou | operation count = 153
Liam Klaas | operation count = 154
Phenyo Williams | operation count = 155
Remofilwe Mohlala | operation count = 156
Junior Witbooi | operation count = 157
Kungawo Motloung | operation count = 158
Esihle Davids | operation count = 159
Amohelang Shabangu | operation count = 160
Bonolo Klaas | operation count = 161
Amogelang Baloyi | operation count = 162
Othalive Olyn | operation count = 62
Enzokuhle Motaung | operation count = 164
Luphawu Jacobs | operation count = 165
Leah Hendricks | operation count = 166
Enzokuhle Maseko | operation count = 167
Aphelele Tshabalala | operation count = 168
Esihle Ngobeni | operation count = 169
Enzokuhle Ndou | operation count = 170
Luthando Tsotetsi | operation count = 171
Lubanzi Dlamini | operation count = 172
Likuwe Nhlapo | operation count = 173
Iminathi Booi | operation count = 174
Othalive Mthembu | operation count = 175
Lesedi Molefe | operation count = 176
Amahle Davids | operation count = 177
Emihle Maseko | operation count = 178
Luphawu Motaung | operation count = 179
Esihle Mnisi | operation count = 180
Amahle Dyantyi | operation count = 181
Lwandle Peter | operation count = 182
Aphelele Mathebula | operation count = 183
Amogelang Ngwenya | operation count = 184
Olerato Mofokeng | operation count = 185
Jayden Moeng | operation count = 186
Lisakhanya Motloung | operation count = 187
Katlego Buthelezi | operation count = 188
Angel Louw | operation count = 189
Ava Shabangu | operation count = 190
Katlego Mkhize | operation count = 191
Siyabonga Mokoena | operation count = 192
Omphile Olyn | operation count = 193
Okuhle Mosia | operation count = 194
Lubanzi Davids | operation count = 195
Lethabo Ndou | operation count = 196
Luthando Mkhize | operation count = 197
Enzokuhle Gumede | operation count = 198
Bokamoso Moeng | operation count = 199
Bokamoso Mnisi | operation count = 200
Noah Motaung | operation count = 201
Faith Jack | operation count = 202
Omaatla Davids | operation count = 203
Nkosenhle Jacobs | operation count = 204
Bandile Olyn | operation count = 205
Onthatile Booysen | operation count = 206
Kungawo Nkosi | operation count = 207
Angel Petersen | operation count = 208
Alwande Shabangu | operation count = 209
Omphile Modise | operation count = 210
Ava Van | operation count = 211
Joshua Khoza | operation count = 212
Mpho Hendricks | operation count = 213
Nkosenhle Chauke | operation count = 214
Okuhle Mthembu | operation count = 99
Lesedi Visagie | operation count = 216
Kungawo Radebe | operation count = 217
Lebogang Williams | operation count = 218
Lesedi Visagie | operation count = 216
Lethokuhle Khumalo | operation count = 80
Bokang Maluleke | operation count = 221
Thato Modise | operation count = 222
Reneilwe Mosia | operation count = 223
Banele Khoza | operation count = 224
Oratilwe Visagie | operation count = 225
Omaatla Nkuna | operation count = 226
Thato Mthembu | operation count = 227
Jayden Peter | operation count = 228
Lethabo Mkhize | operation count = 229
Omolemo Jacobs | operation count = 230
Iminathi Mogale | operation count = 231
Aphelele Ngcobo | operation count = 232
Liam Booysen | operation count = 233
Melokuhle Ndlovu | operation count = 234
Junior Motaung | operation count = 235
Alunamda Booi | operation count = 236
Mia Radebe | operation count = 237
Ava Chauke | operation count = 238
Phenyo Motaung | operation count = 239
Bokang Modise | operation count = 240
Lethokuhle Khumalo | operation count = 80
Joshua Mokoena | operation count = 242
Lisakhanya Maluleke | operation count = 243
Omolemo Olyn | operation count = 244
Omphile Smith | operation count = 245
Lingomso Maluleke | operation count = 246
Omphile Smith | operation count = 245
Bokang Khumalo | operation count = 248
Enzokuhle Motaung | operation count = 164
Katlego Mokoena | operation count = 250
Bandile Hendricks | operation count = 251
Leano Nkuna | operation count = 252
Faith Dyantyi | operation count = 253
Siphesihle Mnisi | operation count = 254
Onthatile Hendricks | operation count = 255
Katleho Motloung | operation count = 256
Naledi Radebe | operation count = 257
Warona Mogale | operation count = 258
Tshegofatso Mohlala | operation count = 259
Minenhle Klaas | operation count = 260
Luthando Tsotetsi | operation count = 171
Aphelele Khumalo | operation count = 262
Leano Abrahams | operation count = 263
Karabo Peter | operation count = 264
Omaatla Mofokeng | operation count = 265
Tshegofatso Chauke | operation count = 266
Kamogelo Modise | operation count = 267
Othalive Radebe | operation count = 268
Rorisang Booi | operation count = 269
Karabo Mthembu | operation count = 270
Reatlegile Ngwenya | operation count = 271
Lisakhanya Klaas | operation count = 272
Rethabile Moloi | operation count = 273
Bayanda Sithole | operation count = 274
Reneilwe Tshabalala | operation count = 275
Liam Mahlangu | operation count = 276
Aphelele Sithole | operation count = 277
Kamohelo Mofokeng | operation count = 278
Bokamoso Ndou | operation count = 279
Iminathi Baloyi | operation count = 280
Omphile Olyn | operation count = 193
Bokamoso Nkuna | operation count = 282
Katlego Buthelezi | operation count = 283
Elijah Hendricks | operation count = 284
Enzokuhle Ndou | operation count = 170
Sphesihle Gumede | operation count = 286
Lebogang Cloete | operation count = 45
Katlego Motaung | operation count = 288
Oratile Malatji | operation count = 289
Melokuhle Hendricks | operation count = 290
Omaatla Moloi | operation count = 291
Phenyo Mathebula | operation count = 292
Othalive Cloete | operation count = 293
Siphesihle Moloi | operation count = 294
Sphesihle Mkhize | operation count = 295
Leah Mohlala | operation count = 296
Alunamda Ngcobo | operation count = 297
Leah Witbooi | operation count = 298
Amahle Abrahams | operation count = 299
Bayanda Baloyi | operation count = 300
Othalive Moloi | operation count = 301
Remofilwe Jack | operation count = 302
Banele Motaung | operation count = 303
Luphawu Ndou | operation count = 304
Kamogelo Maseko | operation count = 305
Ayabonga Moeng | operation count = 306
Rethabile Petersen | operation count = 307
Remofilwe Witbooi | operation count = 308
Luphawu Petersen | operation count = 309
Omaatla Mudau | operation count = 310
Banele Jacobs | operation count = 311
Othalive Gumede | operation count = 312
Katleho Van | operation count = 313
Lebogang Cloete | operation count = 314
Okuhle Nhlapo | operation count = 315
Lwandle Daniels | operation count = 316
Leah Mathebula | operation count = 317
Lethokuhle Petersen | operation count = 318
Bayanda Adams | operation count = 319
Okuhle Buthelezi | operation count = 320
Leah Khumalo | operation count = 321
Olothando Modise | operation count = 322
Phenyo Davids | operation count = 323
Bokamoso Dlamini | operation count = 324
Lingomso Beukes | operation count = 325
Phenyo Davids | operation count = 119
Bokang Mohlala | operation count = 327
Amohelang Jacobs | operation count = 328
Noah Khumalo | operation count = 329
Faith Buthelezi | operation count = 330
Lwandle Ndlovu | operation count = 331
Kamohelo Madikizela | operation count = 332
Melokuhle Shabangu | operation count = 333
Luthando Sithole | operation count = 334
Amogelang Baloyi | operation count = 335
Luthando Mathebula | operation count = 336
Omphile Dlamini | operation count = 337
Esihle Mokoena | operation count = 149
Lubanzi Mohlala | operation count = 339
Kamogelo Mkhize | operation count = 340
Lwandle Ndlovu | operation count = 331
Rorisang Khumalo | operation count = 342
Elijah Williams | operation count = 343
Amogelang Sithole | operation count = 344
Alunamda Davids | operation count = 345
Amogelang Ngwenya | operation count = 184
Likuwe Motaung | operation count = 347
Iminathi Maseko | operation count = 348
Faith Booi | operation count = 82
Omolemo Nhlapo | operation count = 350
Siphesihle Khumalo | operation count = 351
Nkosenhle Chauke | operation count = 214
Leah Abrahams | operation count = 353
Lubanzi Dlamini | operation count = 172
Katlego Mahlangu | operation count = 355
Reatlegile Shabangu | operation count = 356
Siphesihle Nhlapo | operation count = 138
Bandile Ndou | operation count = 358
Ofentse Mahlangu | operation count = 359
Naledi Van | operation count = 360
Ava Ngcobo | operation count = 361
Mia Mofokeng | operation count = 362
Luphawu Abrahams | operation count = 363
Mpho Mathebula | operation count = 364
Enzokuhle Peter | operation count = 365
Rorisang Khumalo | operation count = 342
Iminathi Booi | operation count = 174
Tshegofatso Adams | operation count = 368
Omphile Beukes | operation count = 369
Nkosenhle Jacobs | operation count = 204
Remofilwe Mosia | operation count = 371
Esihle Petersen | operation count = 372
Amogelang Khumalo | operation count = 373
Omaatla Mofokeng | operation count = 374
Lesedi Cloete | operation count = 375
Bayanda Nkuna | operation count = 376
Lingomso Jacobs | operation count = 377
Onthatile Mofokeng | operation count = 378
Reneilwe Petersen | operation count = 379
Tshegofatso Witbooi | operation count = 380
Lingomso Malatji | operation count = 381
Faith Khoza | operation count = 382
Olothando Van | operation count = 22
Melokuhle Dlamini | operation count = 384
Siphosethu Hendricks | operation count = 385
Lwandle Tshabalala | operation count = 386
Jayden Moeng | operation count = 186
Angel Dyantyi | operation count = 388
Katlego Nkosi | operation count = 389
Alunamda Dlamini | operation count = 390
Khayone Beukes | operation count = 391
Ofentse Mogale | operation count = 392
Nkosenhle Ngcobo | operation count = 393
Rethabile Mudau | operation count = 394
Enzokuhle Ngcobo | operation count = 395
Lebogang Mofokeng | operation count = 396
Leano Abrahams | operation count = 263
Phenyo Mahlangu | operation count = 398
Angel Mokoena | operation count = 130
Ofentse Klaas | operation count = 400
Reneilwe Mohlala | operation count = 401
Mia Radebe | operation count = 237
Lethokuhle Ngwenya | operation count = 403
Ofentse Mohlala | operation count = 404
Alunamda Mnisi | operation count = 405
Lethokuhle Maluleke | operation count = 406
Warona Motaung | operation count = 407
Blessing Klaas | operation count = 408
Reatlegile Ngwenya | operation count = 271
Emihle Khumalo | operation count = 410
Thandolwethu Mnisi | operation count = 411
Olerato Beukes | operation count = 412
Kamogelo Cloete | operation count = 53
Minenhle Radebe | operation count = 414
Ofentse Sithole | operation count = 415
Ofentse Radebe | operation count = 416
Warona Motaung | operation count = 417
Luke Mosia | operation count = 418
Alwande Maluleke | operation count = 419
Mia Molefe | operation count = 420
Leano Khoza | operation count = 421
Ava Louw | operation count = 115
Emihle Mofokeng | operation count = 423
Luke Khoza | operation count = 424
Bonolo Maseko | operation count = 425
Rethabile Maseko | operation count = 426
Siphesihle Mnisi | operation count = 427
Luke Baloyi | operation count = 428
Ofentse Cloete | operation count = 429
Noah Mthembu | operation count = 430
Olothando Modise | operation count = 322
Nkosenhle Mohlala | operation count = 432
Ofentse Booi | operation count = 433
Nkosenhle Nkuna | operation count = 434
Mia Moeng | operation count = 435
Leah Hendricks | operation count = 166
Amogelang Booi | operation count = 437
Omolemo Williams | operation count = 438
Omaatla Mudau | operation count = 439
Omphile Mnisi | operation count = 440
Siphosethu Modise | operation count = 441
Olerato Abrahams | operation count = 442
Onthatile Mofokeng | operation count = 443
Olothando Moloi | operation count = 444
Enzokuhle Ngcobo | operation count = 445
Ayabonga Sithole | operation count = 446
Phenyo Ndlovu | operation count = 447
Reatlegile Ndlovu | operation count = 448
Katlego Ndou | operation count = 449
Leah Jacobs | operation count = 450
Luthando Dyantyi | operation count = 451
Likuwe Ngcobo | operation count = 452
Bonolo Louw | operation count = 453
Lesedi Buthelezi | operation count = 454
Bokang Baloyi | operation count = 455
Lesedi Radebe | operation count = 456
Aphelele Moloi | operation count = 457
Melokuhle Booi | operation count = 458
Amogelang Hendricks | operation count = 459
Luke Khumalo | operation count = 460
Bokamoso Shabangu | operation count = 461
Emihle Jacobs | operation count = 462
Katlego Mathebula | operation count = 463
Olothando Ngcobo | operation count = 464
Amohelang Khumalo | operation count = 465
Mia Radebe | operation count = 237
Lesedi Sithole | operation count = 467
Mpho Mahlangu | operation count = 468
Tshegofatso Malatji | operation count = 469
Rorisang Gumede | operation count = 470
Lisakhanya Mogale | operation count = 471
Blessing Nhlapo | operation count = 472
Kamogelo Nhlapo | operation count = 473
Omaatla Dlamini | operation count = 474
Amahle Mathebula | operation count = 475
Siphesihle Buthelezi | operation count = 476
Lwandle Ndlovu | operation count = 477
Asemahle Gumede | operation count = 478
Alunamda Dlamini | operation count = 390
Siphesihle Buthelezi | operation count = 476
Lebogang Mofokeng | operation count = 396
Lethokuhle Ndlovu | operation count = 482
Noah Maluleke | operation count = 483
Rethabile Dlamini | operation count = 484
Ofentse Cloete | operation count = 485
Kungawo Mokoena | operation count = 486
Elijah Madikizela | operation count = 487
Reatlegile Ngwenya | operation count = 271
Olothando Jacobs | operation count = 489
Lethokuhle Peter | operation count = 490
Minenhle Mosia | operation count = 491
Ofentse Mohlala | operation count = 404
Junior Shabangu | operation count = 493
Emihle Moloi | operation count = 494
Rorisang Sithole | operation count = 495
Faith Buthelezi | operation count = 496
Ava Shabangu | operation count = 497
Iminathi Mofokeng | operation count = 498
Othalive Abrahams | operation count = 499
Amahle Davids | operation count = 177
Isabella Witbooi | operation count = 501
Bonolo Ndlovu | operation count = 502
Jayden Klaas | operation count = 503
Aphelele Moloi | operation count = 504
Likuwe Modise | operation count = 505
Emihle Jacobs | operation count = 462
Karabo Olyn | operation count = 507
Omphile Moloi | operation count = 508
Hlelokuhle Malatji | operation count = 509
Warona Sithole | operation count = 510
Lebogang Olyn | operation count = 511
Warona Motaung | operation count = 417
Lingomso Peter | operation count = 137
Karabo Mthembu | operation count = 514
Lingomso Malatji | operation count = 381
Asemahle Ndlovu | operation count = 516
Minenhle Jacobs | operation count = 517
Tshegofatso Witbooi | operation count = 380
Amohelang Cloete | operation count = 519
Sphesihle Sithole | operation count = 520
Luke Gumede | operation count = 521
Kungawo Abrahams | operation count = 522
Oratilwe Abrahams | operation count = 523
Siphesihle Khoza | operation count = 31
Luke Gumede | operation count = 521
Bokamoso Modise | operation count = 526
Faith Cloete | operation count = 527
Kamohelo Louw | operation count = 528
Iminathi Dlamini | operation count = 529
Elijah Madikizela | operation count = 487
Noah Ngobeni | operation count = 531
Emihle Booysen | operation count = 532
Joshua Petersen | operation count = 533
Bokamoso Witbooi | operation count = 534
Omphile Mnisi | operation count = 535
Reneilwe Nkosi | operation count = 536
Ofentse Olyn | operation count = 537
Leah Ngobeni | operation count = 538
Amahle Moloi | operation count = 539
Joshua Cloete | operation count = 540
Bonolo Ngobeni | operation count = 541
Bokamoso Smith | operation count = 542
Onthatile Sithole | operation count = 543
Omphile Olyn | operation count = 193
Rorisang Visagie | operation count = 545
Rorisang Nhlapo | operation count = 546
Lubanzi Tsotetsi | operation count = 547
Lesedi Van | operation count = 548
Emihle Booysen | operation count = 549
Bandile Nkosi | operation count = 550
Leah Abrahams | operation count = 353
Joshua Petersen | operation count = 533
Lethabo Cloete | operation count = 553
Siyabonga Cloete | operation count = 554
Aphelele Mogale | operation count = 555
Noah Tsotetsi | operation count = 556
Liam Ngcobo | operation count = 557
Bokamoso Smith | operation count = 542
Junior Ngwenya | operation count = 121
Bokamoso Malatji | operation count = 560
Karabo Mathebula | operation count = 561
Lubanzi Hendricks | operation count = 562
Angel Modise | operation count = 563
Minenhle Peter | operation count = 564
Onthatile Louw | operation count = 565
Lingomso Mofokeng | operation count = 566
Olothando Booi | operation count = 567
Omphile Louw | operation count = 568
Oratilwe Mnisi | operation count = 569
Othalive Ngwenya | operation count = 570
Reneilwe Booysen | operation count = 571
Reatlegile Nkosi | operation count = 572
Lesedi Buthelezi | operation count = 454
Likuwe Ngcobo | operation count = 574
Iminathi Mogale | operation count = 575
Reneilwe Cloete | operation count = 576
Phenyo Beukes | operation count = 577
Lubanzi Davids | operation count = 578
Thandolwethu Hendricks | operation count = 30
Lesedi Ngcobo | operation count = 580
Asemahle Moeng | operation count = 581
Alunamda Jacobs | operation count = 582
Omphile Mnisi | operation count = 583
Mia Adams | operation count = 584
Luke Mosia | operation count = 418
Letlotlo Daniels | operation count = 586
Leah Mohlala | operation count = 296
Bokamoso Smith | operation count = 588
Luphawu Jacobs | operation count = 165
Elijah Davids | operation count = 590
Ayabonga Adams | operation count = 591
Okuhle Mkhize | operation count = 592
Lebogang Gumede | operation count = 593
Likuwe Modise | operation count = 594
Reneilwe Abrahams | operation count = 595
Lingomso Beukes | operation count = 325
Junior Witbooi | operation count = 157
Lebogang Olyn | operation count = 511
Iminathi Mogale | operation count = 575
Amahle Malatji | operation count = 600
Rorisang Motloung | operation count = 601
Warona Mahlangu | operation count = 602
Luke Khumalo | operation count = 460
Karabo Mokoena | operation count = 604
Karabo Modise | operation count = 605
Lebogang Cloete | operation count = 314
Phenyo Khumalo | operation count = 607
Asemahle Moloi | operation count = 608
Ofentse Smith | operation count = 609
Mpho Khoza | operation count = 610
Noah Mudau | operation count = 611
Omolemo Jacobs | operation count = 230
Bandile Nkosi | operation count = 613
Esihle Davids | operation count = 614
Jayden Klaas | operation count = 503
Oratile Malatji | operation count = 616
Lethabo Mogale | operation count = 617
Oratilwe Mofokeng | operation count = 618
Caleb Ndou | operation count = 619
Lethabo Cloete | operation count = 620
Naledi Maseko | operation count = 621
Luke Khoza | operation count = 424
Olerato Nhlapo | operation count = 623
Mpho Abrahams | operation count = 624
Thandolwethu Nkosi | operation count = 625
Othalive Van | operation count = 626
Mia Mkhize | operation count = 627
Iminathi Booi | operation count = 174
Omolemo Mohlala | operation count = 629
Bandile Nkuna | operation count = 630
Luphawu Tsotetsi | operation count = 110
Joshua Daniels | operation count = 632
Katleho Baloyi | operation count = 633
Melokuhle Booi | operation count = 634
Katleho Mkhize | operation count = 635
Likuwe Ngcobo | operation count = 452
Junior Abrahams | operation count = 637
Naledi Klaas | operation count = 638
Alunamda Jacobs | operation count = 582
Phenyo Maluleke | operation count = 640
Kamohelo Maseko | operation count = 641
Lubanzi Mogale | operation count = 642
Likuwe Adams | operation count = 643
Bokamoso Smith | operation count = 588
Katlego Adams | operation count = 645
Siphesihle Visagie | operation count = 646
Ofentse Khoza | operation count = 647
Katlego Van | operation count = 648
Lesedi Khumalo | operation count = 649
Likuwe Dyantyi | operation count = 650
Warona Beukes | operation count = 651
Luthando Dyantyi | operation count = 652
Othalive Mudau | operation count = 73
Oratile Malatji | operation count = 616
Bonolo Tshabalala | operation count = 655
Warona Beukes | operation count = 122
Junior Van | operation count = 657
Bayanda Motaung | operation count = 658
Kamogelo Louw | operation count = 659
Omphile Mahlangu | operation count = 660
Aphelele Mathebula | operation count = 183
Mia Booysen | operation count = 662
Iminathi Booi | operation count = 663
Amahle Khoza | operation count = 664
Katleho Olyn | operation count = 665
Karabo Visagie | operation count = 103
Sphesihle Sithole | operation count = 520
Kungawo Maluleke | operation count = 668
Bokamoso Nkosi | operation count = 669
Angel Abrahams | operation count = 670
Phenyo Booysen | operation count = 671
Luke Nhlapo | operation count = 672
Angel Klaas | operation count = 673
Karabo Maseko | operation count = 674
Leano Mthembu | operation count = 675
Siyabonga Cloete | operation count = 554
Junior Shabangu | operation count = 493
Aphelele Ngwenya | operation count = 678
Enzokuhle Mofokeng | operation count = 679
Amohelang Gumede | operation count = 680
Amogelang Williams | operation count = 681
Luthando Mkhize | operation count = 197
Reatlegile Williams | operation count = 683
Omolemo Moloi | operation count = 684
Onthatile Williams | operation count = 685
Lwandle Moeng | operation count = 686
Olerato Smith | operation count = 687
Faith Baloyi | operation count = 688
Angel Ndlovu | operation count = 689
Phenyo Khumalo | operation count = 690
Aphelele Mohlala | operation count = 691
Lubanzi Van | operation count = 692
Rethabile Malatji | operation count = 693
Enzokuhle Gumede | operation count = 198
Lethokuhle Ndou | operation count = 695
Tshegofatso Olyn | operation count = 696
Ava Hendricks | operation count = 697
Ofentse Mnisi | operation count = 698
Karabo Daniels | operation count = 699
Siphosethu Ngobeni | operation count = 700
Amogelang Mudau | operation count = 701
Oratilwe Smith | operation count = 702
Luphawu Nkosi | operation count = 703
Omphile Visagie | operation count = 704
Letlotlo Witbooi | operation count = 705
Lethabo Nkuna | operation count = 706
Lethokuhle Hendricks | operation count = 707
Rorisang Louw | operation count = 708
Lwandle Khumalo | operation count = 709
Ayabonga Radebe | operation count = 710
Luke Ngobeni | operation count = 711
Isabella Mokoena | operation count = 712
Lethokuhle Mthembu | operation count = 713
Lesedi Ngcobo | operation count = 580
Likuwe Motloung | operation count = 715
Reatlegile Hendricks | operation count = 716
Luke Motaung | operation count = 717
Kamogelo Mkhize | operation count = 340
Katlego Mohlala | operation count = 719
Kungawo Maseko | operation count = 720
Katlego Mohlala | operation count = 721
Joshua Daniels | operation count = 722
Joshua Modise | operation count = 723
Omphile Nkosi | operation count = 724
Mpho Mthembu | operation count = 725
Enzokuhle Petersen | operation count = 726
Bayanda Visagie | operation count = 727
Caleb Buthelezi | operation count = 728
Thato Madikizela | operation count = 729
Luke Mathebula | operation count = 730
Lethabo Daniels | operation count = 731
Ofentse Nkosi | operation count = 732
Bayanda Motaung | operation count = 658
Tshegofatso Nhlapo | operation count = 734
Lethabo Tshabalala | operation count = 735
Lethokuhle Williams | operation count = 736
Rorisang Visagie | operation count = 545
Jayden Mathebula | operation count = 738
Leah Klaas | operation count = 739
Lebogang Nhlapo | operation count = 740
Omphile Buthelezi | operation count = 741
Amohelang Williams | operation count = 742
Amohelang Booi | operation count = 743
Lesedi Daniels | operation count = 744
Kungawo Ndou | operation count = 745
Onthatile Beukes | operation count = 15
Olothando Booi | operation count = 747
Bonolo Mathebula | operation count = 748
Katlego Moloi | operation count = 749
Ofentse Klaas | operation count = 750
Omphile Buthelezi | operation count = 751
Lingomso Louw | operation count = 752
Warona Mogale | operation count = 258
Amohelang Peter | operation count = 754
Letlotlo Ngobeni | operation count = 755
Noah Mathebula | operation count = 756
Reneilwe Booysen | operation count = 757
Olerato Mnisi | operation count = 758
Warona Tshabalala | operation count = 759
Luthando Malatji | operation count = 760
Olerato Hendricks | operation count = 761
Iminathi Dlamini | operation count = 529
Alwande Dyantyi | operation count = 126
Kungawo Van | operation count = 764
Tshegofatso Maluleke | operation count = 765
Amogelang Mosia | operation count = 766
Olerato Mathebula | operation count = 767
Bokamoso Ndou | operation count = 279
Onthatile Sithole | operation count = 543
Lethokuhle Dyantyi | operation count = 770
Lebogang Khumalo | operation count = 771
Noah Mosia | operation count = 69
Ofentse Nkuna | operation count = 773
Lethabo Moeng | operation count = 774
Othalive Tsotetsi | operation count = 775
Bonolo Ngobeni | operation count = 776
Lubanzi Shabangu | operation count = 777
Emihle Khoza | operation count = 778
Phenyo Ngcobo | operation count = 75
Kamogelo Ndlovu | operation count = 780
Relebohile Olyn | operation count = 781
Blessing Shabangu | operation count = 782
Olerato Smith | operation count = 687
Lisakhanya Mokoena | operation count = 784
Elijah Sithole | operation count = 785
Alwande Nhlapo | operation count = 786
Minenhle Tshabalala | operation count = 787
Kungawo Mthembu | operation count = 788
Katleho Mathebula | operation count = 789
Amahle Maseko | operation count = 790
Omphile Smith | operation count = 791
Letlotlo Jack | operation count = 792
Lethokuhle Maluleke | operation count = 406
Lebogang Hendricks | operation count = 794
Kungawo Ngwenya | operation count = 795
Alwande Mnisi | operation count = 796
Tshegofatso Jack | operation count = 797
Iminathi Jack | operation count = 798
Esihle Modise | operation count = 799
Ava Klaas | operation count = 800
Blessing Buthelezi | operation count = 801
Lesedi Nkuna | operation count = 802
Reatlegile Modise | operation count = 803
Ofentse Mnisi | operation count = 698
Junior Cloete | operation count = 805
Lingomso Booysen | operation count = 806
Siphesihle Jack | operation count = 807
Amogelang Moeng | operation count = 808
