Banele Olyn | operation insert count 0 | operation find count = 3
Phenyo Abrahams | operation insert count 9 | operation find count = 15
Olothando Klaas | operation insert count 7 | operation find count = 25
Kamogelo Baloyi | operation insert count 9 | operation find count = 19
Enzokuhle Maluleke | operation insert count 10 | operation find count = 13
Katleho Motloung | operation insert count 9 | operation find count = 17
Kungawo Mudau | operation insert count 9 | operation find count = 17
Bokang Shabangu | operation insert count 9 | operation find count = 15
Faith Jack | operation insert count 8 | operation find count = 21
Ofentse Nkosi | operation insert count 8 | operation find count = 13
Rorisang Beukes | operation insert count 9 | operation find count = 15
Ava Malatji | operation insert count 9 | operation find count = 19
Omolemo Madikizela | operation insert count 10 | operation find count = 21
Omphile Louw | operation insert count 7 | operation find count = 15
Melokuhle Mohlala | operation insert count 9 | operation find count = 19
Lethokuhle Booysen | operation insert count 9 | operation find count = 15
Bokamoso Moeng | operation insert count 9 | operation find count = 19
Lingomso Mthembu | operation insert count 9 | operation find count = 21
Rethabile Ndou | operation insert count 9 | operation find count = 25
Khayone Hendricks | operation insert count 8 | operation find count = 21
Reatlegile Molefe | operation insert count 9 | operation find count = 17
Leah Nkosi | operation insert count 9 | operation find count = 11
Luke Peter | operation insert count 9 | operation find count = 13
Likuwe Petersen | operation insert count 10 | operation find count = 13
Omphile Louw | operation insert count 8 | operation find count = 21
Luthando Shabangu | operation insert count 9 | operation find count = 13
Thandolwethu Modise | operation insert count 10 | operation find count = 21
Tshegofatso Mofokeng | operation insert count 10 | operation find count = 21
Olerato Ngobeni | operation insert count 8 | operation find count = 17
Ayabonga Mthembu | operation insert count 9 | operation find count = 15
Olerato Shabangu | operation insert count 9 | operation find count = 17
Luke Madikizela | operation insert count 10 | operation find count = 15
Reatlegile Williams | operation insert count 9 | operation find count = 19
Letlotlo Chauke | operation insert count 9 | operation find count = 19
Bonolo Tsotetsi | operation insert count 8 | operation find count = 19
Amahle Mkhize | operation insert count 6 | operation find count = 5
Alunamda Dlamini | operation insert count 7 | operation find count = 19
Likuwe Daniels | operation insert count 8 | operation find count = 17
Alunamda Nhlapo | operation insert count 8 | operation find count = 21
Likuwe Modise | operation insert count 9 | operation find count = 19
Noah Jack | operation insert count 3 | operation find count = 13
Melokuhle Adams | operation insert count 8 | operation find count = 19
Iminathi Mnisi | operation insert count 10 | operation find count = 19
Likuwe Tshabalala | operation insert count 8 | operation find count = 19
Phenyo Modise | operation insert count 10 | operation find count = 13
Ava Jacobs | operation insert count 8 | operation find count = 15
Relebohile Cloete | operation insert count 8 | operation find count = 17
Omolemo Mudau | operation insert count 9 | operation find count = 15
Bandile Daniels | operation insert count 8 | operation find count = 19
Lethabo Mohlala | operation insert count 7 | operation find count = 15
Liam Mnisi | operation insert count 9 | operation find count = 13
Oratile Cloete | operation insert count 9 | operation find count = 19
Iminathi Buthelezi | operation insert count 9 | operation find count = 23
Okuhle Jacobs | operation insert count 8 | operation find count = 25
Relebohile Tsotetsi | operation insert count 9 | operation find count = 21
Iminathi Daniels | operation insert count 9 | operation find count = 17
Aphelele Louw | operation insert count 8 | operation find count = 15
Kungawo Baloyi | operation insert count 10 | operation find count = 17
Likuwe Mokoena | operation insert count 9 | operation find count = 19
Minenhle Ngwenya | operation insert count 9 | operation find count = 19
Relebohile Madikizela | operation insert count 10 | operation find count = 21
Aphelele Madikizela | operation insert count 10 | operation find count = 15
Kamogelo Khoza | operation insert count 7 | operation find count = 21
Lubanzi Maluleke | operation insert count 10 | operation find count = 21
Tshegofatso Ndlovu | operation insert count 9 | operation find count = 21
Tshegofatso Mohlala | operation insert count 10 | operation find count = 19
Reneilwe Mudau | operation insert count 11 | operation find count = 17
Hlelokuhle Malatji | operation insert count 10 | operation find count = 17
Reatlegile Madikizela | operation insert count 10 | operation find count = 17
Onthatile Davids | operation insert count 11 | operation find count = 19
Lethabo Mathebula | operation insert count 9 | operation find count = 21
Leano Daniels | operation insert count 9 | operation find count = 21
Lubanzi Beukes | operation insert count 9 | operation find count = 17
Olerato Mathebula | operation insert count 9 | operation find count = 21
Reneilwe Molefe | operation insert count 9 | operation find count = 19
Phenyo Mnisi | operation insert count 9 | operation find count = 17
Othalive Mthembu | operation insert count 10 | operation find count = 17
Jayden Petersen | operation insert count 10 | operation find count = 19
Luke Radebe | operation insert count 9 | operation find count = 13
Reatlegile Ngcobo | operation insert count 8 | operation find count = 17
Luthando Mathebula | operation insert count 10 | operation find count = 21
Oratile Cloete | operation insert count 9 | operation find count = 19
Lethabo Mthembu | operation insert count 10 | operation find count = 19
Katlego Ndou | operation insert count 11 | operation find count = 13
Remofilwe Cloete | operation insert count 9 | operation find count = 23
Mpho Mathebula | operation insert count 10 | operation find count = 19
Thato Smith | operation insert count 9 | operation find count = 15
Lingomso Williams | operation insert count 9 | operation find count = 19
Bayanda Nhlapo | operation insert count 9 | operation find count = 19
Leano Motaung | operation insert count 9 | operation find count = 21
Lesedi Gumede | operation insert count 9 | operation find count = 19
Omaatla Williams | operation insert count 10 | operation find count = 15
Karabo Olyn | operation insert count 10 | operation find count = 19
Philasande Nkosi | operation insert count 9 | operation find count = 15
Alunamda Booi | operation insert count 12 | operation find count = 17
Remofilwe Dyantyi | operation insert count 9 | operation find count = 15
Isabella Adams | operation insert count 8 | operation find count = 17
Katlego Adams | operation insert count 9 | operation find count = 21
Rethabile Tsotetsi | operation insert count 9 | operation find count = 19
Mia Khumalo | operation insert count 7 | operation find count = 23
Omolemo Nhlapo | operation insert count 9 | operation find count = 15
Lethabo Mnisi | operation insert count 10 | operation find count = 21
Likuwe Mthembu | operation insert count 10 | operation find count = 21
Phenyo Madikizela | operation insert count 10 | operation find count = 23
Banele Nhlapo | operation insert count 9 | operation find count = 21
Omolemo Tshabalala | operation insert count 9 | operation find count = 17
Iminathi Booi | operation insert count 10 | operation find count = 21
Lethabo Mudau | operation insert count 10 | operation find count = 21
Luke Mthembu | operation insert count 10 | operation find count = 23
Kamohelo Tsotetsi | operation insert count 9 | operation find count = 21
Relebohile Motaung | operation insert count 9 | operation find count = 13
Amogelang Khumalo | operation insert count 8 | operation find count = 19
Bokamoso Radebe | operation insert count 9 | operation find count = 19
Relebohile Abrahams | operation insert count 10 | operation find count = 23
Lethabo Ndlovu | operation insert count 9 | operation find count = 19
Lesedi Mogale | operation insert count 10 | operation find count = 19
Oratile Abrahams | operation insert count 9 | operation find count = 21
Lingomso Dlamini | operation insert count 9 | operation find count = 21
Asemahle Petersen | operation insert count 10 | operation find count = 19
Thato Nkuna | operation insert count 9 | operation find count = 21
Omphile Visagie | operation insert count 8 | operation find count = 17
Katleho Abrahams | operation insert count 9 | operation find count = 19
Omaatla Abrahams | operation insert count 8 | operation find count = 19
Karabo Mosia | operation insert count 8 | operation find count = 17
Nkosenhle Ndlovu | operation insert count 9 | operation find count = 19
Tshegofatso Moeng | operation insert count 9 | operation find count = 11
Joshua Mudau | operation insert count 9 | operation find count = 19
Onthatile Motaung | operation insert count 11 | operation find count = 19
Oratilwe Modise | operation insert count 11 | operation find count = 21
Hlelokuhle Klaas | operation insert count 8 | operation find count = 17
Okuhle Khumalo | operation insert count 12 | operation find count = 21
Tshegofatso Nhlapo | operation insert count 7 | operation find count = 19
Kungawo Mokoena | operation insert count 9 | operation find count = 15
Banele Petersen | operation insert count 10 | operation find count = 15
Mia Moeng | operation insert count 10 | operation find count = 19
Caleb Mahlangu | operation insert count 10 | operation find count = 21
Likuwe Radebe | operation insert count 10 | operation find count = 15
Enzokuhle Ngcobo | operation insert count 10 | operation find count = 19
Letlotlo Madikizela | operation insert count 10 | operation find count = 17
Karabo Mnisi | operation insert count 10 | operation find count = 17
Alunamda Daniels | operation insert count 8 | operation find count = 17
Likuwe Khoza | operation insert count 9 | operation find count = 17
Jayden Ndou | operation insert count 10 | operation find count = 23
Melokuhle Klaas | operation insert count 10 | operation find count = 21
Omaatla Moloi | operation insert count 9 | operation find count = 21
Olothando Booysen | operation insert count 9 | operation find count = 19
Esihle Mokoena | operation insert count 10 | operation find count = 15
Letlotlo Daniels | operation insert count 10 | operation find count = 19
Reatlegile Williams | operation insert count 10 | operation find count = 21
Kamogelo Nhlapo | operation insert count 9 | operation find count = 19
Philasande Daniels | operation insert count 8 | operation find count = 23
Tshegofatso Beukes | operation insert count 7 | operation find count = 23
Omaatla Davids | operation insert count 9 | operation find count = 15
Iminathi Mkhize | operation insert count 10 | operation find count = 17
Relebohile Mogale | operation insert count 10 | operation find count = 13
Rorisang Klaas | operation insert count 9 | operation find count = 17
Reneilwe Chauke | operation insert count 8 | operation find count = 19
Katlego Ndou | operation insert count 11 | operation find count = 13
Olothando Moloi | operation insert count 10 | operation find count = 17
Omphile Witbooi | operation insert count 10 | operation find count = 15
