Nkosenhle Radebe | operation insert count 0 | operation find count = 3
Isabella Visagie | operation insert count 6 | operation find count = 11
Lethabo Mnisi | operation insert count 7 | operation find count = 11
Bandile Nkosi | operation insert count 5 | operation find count = 13
Othalive Peter | operation insert count 6 | operation find count = 11
Ofentse Madikizela | operation insert count 5 | operation find count = 17
Bayanda Buthelezi | operation insert count 6 | operation find count = 13
Karabo Mosia | operation insert count 6 | operation find count = 19
Kungawo Olyn | operation insert count 6 | operation find count = 9
Asemahle Olyn | operation insert count 7 | operation find count = 17
Faith Ngobeni | operation insert count 6 | operation find count = 11
Luke Mohlala | operation insert count 7 | operation find count = 11
Ofentse Ndlovu | operation insert count 6 | operation find count = 11
Rorisang Beukes | operation insert count 6 | operation find count = 15
Enzokuhle Ngwenya | operation insert count 6 | operation find count = 17
Noah Jack | operation insert count 6 | operation find count = 17
Katleho Radebe | operation insert count 7 | operation find count = 19
Alwande Tshabalala | operation insert count 6 | operation find count = 13
Tshegofatso Ngwenya | operation insert count 6 | operation find count = 19
Lesedi Khumalo | operation insert count 7 | operation find count = 17
Karabo Louw | operation insert count 7 | operation find count = 13
Lebogang Nkuna | operation insert count 6 | operation find count = 13
Katlego Mathebula | operation insert count 6 | operation find count = 13
Hlelokuhle Shabangu | operation insert count 6 | operation find count = 11
Minenhle Abrahams | operation insert count 6 | operation find count = 9
Luke Madikizela | operation insert count 7 | operation find count = 19
Omphile Dyantyi | operation insert count 6 | operation find count = 13
Onthatile Sithole | operation insert count 7 | operation find count = 7
Leano Mogale | operation insert count 7 | operation find count = 9
Bokamoso Motloung | operation insert count 6 | operation find count = 13
Tshegofatso Adams | operation insert count 7 | operation find count = 11
Olothando Ngwenya | operation insert count 6 | operation find count = 19
Siphosethu Hendricks | operation insert count 6 | operation find count = 17
Khayone Sithole | operation insert count 7 | operation find count = 13
Lebogang Adams | operation insert count 7 | operation find count = 13
Mia Beukes | operation insert count 6 | operation find count = 13
Karabo Mahlangu | operation insert count 7 | operation find count = 17
Naledi Dlamini | operation insert count 8 | operation find count = 13
Aphelele Louw | operation insert count 7 | operation find count = 7
Luphawu Dyantyi | operation insert count 7 | operation find count = 17
Reneilwe Booysen | operation insert count 8 | operation find count = 21
Onthatile Tshabalala | operation insert count 7 | operation find count = 9
Olothando Olyn | operation insert count 6 | operation find count = 17
Rethabile Khoza | operation insert count 8 | operation find count = 21
Lethokuhle Mkhize | operation insert count 6 | operation find count = 19
Reatlegile Baloyi | operation insert count 8 | operation find count = 13
Luthando Jack | operation insert count 7 | operation find count = 13
Angel Smith | operation insert count 6 | operation find count = 9
Joshua Mofokeng | operation insert count 7 | operation find count = 13
Philasande Mnisi | operation insert count 6 | operation find count = 17
Ofentse Mathebula | operation insert count 7 | operation find count = 13
Othalive Madikizela | operation insert count 7 | operation find count = 13
Othalive Ndlovu | operation insert count 7 | operation find count = 17
Bokamoso Visagie | operation insert count 9 | operation find count = 13
Oratile Motaung | operation insert count 7 | operation find count = 19
Angel Peter | operation insert count 5 | operation find count = 7
Lingomso Daniels | operation insert count 7 | operation find count = 9
Tshegofatso Visagie | operation insert count 6 | operation find count = 7
Aphelele Klaas | operation insert count 8 | operation find count = 17
Katlego Mosia | operation insert count 6 | operation find count = 21
Amohelang Ngwenya | operation insert count 7 | operation find count = 15
Liam Peter | operation insert count 6 | operation find count = 15
Likuwe Malatji | operation insert count 6 | operation find count = 9
Ayabonga Booi | operation insert count 7 | operation find count = 17
Mpho Witbooi | operation insert count 6 | operation find count = 13
Caleb Baloyi | operation insert count 8 | operation find count = 19
Thandolwethu Daniels | operation insert count 6 | operation find count = 15
Omphile Buthelezi | operation insert count 7 | operation find count = 15
Karabo Nkosi | operation insert count 7 | operation find count = 15
Thato Nkosi | operation insert count 7 | operation find count = 17
Noah Tshabalala | operation insert count 7 | operation find count = 15
Tshegofatso Tsotetsi | operation insert count 6 | operation find count = 13
Relebohile Nkosi | operation insert count 8 | operation find count = 15
Thato Maseko | operation insert count 7 | operation find count = 19
Amohelang Khumalo | operation insert count 7 | operation find count = 21
Kamogelo Olyn | operation insert count 8 | operation find count = 17
Likuwe Williams | operation insert count 6 | operation find count = 11
Rethabile Ndou | operation insert count 7 | operation find count = 13
Lingomso Mudau | operation insert count 8 | operation find count = 15
Othalive Maluleke | operation insert count 8 | operation find count = 19
Omphile Mudau | operation insert count 8 | operation find count = 17
Melokuhle Gumede | operation insert count 6 | operation find count = 15
Ava Ngwenya | operation insert count 7 | operation find count = 19
Luphawu Mathebula | operation insert count 7 | operation find count = 15
Bonolo Khumalo | operation insert count 8 | operation find count = 17
Bonolo Booi | operation insert count 6 | operation find count = 21
Siphesihle Ngwenya | operation insert count 7 | operation find count = 15
Naledi Dlamini | operation insert count 8 | operation find count = 13
Onthatile Mofokeng | operation insert count 8 | operation find count = 19
Luke Shabangu | operation insert count 7 | operation find count = 19
Likuwe Ngcobo | operation insert count 7 | operation find count = 13
Amahle Mogale | operation insert count 8 | operation find count = 19
Karabo Davids | operation insert count 7 | operation find count = 17
Reneilwe Mudau | operation insert count 8 | operation find count = 17
Leah Malatji | operation insert count 8 | operation find count = 19
Leano Witbooi | operation insert count 7 | operation find count = 11
Banele Mofokeng | operation insert count 8 | operation find count = 17
Junior Ngwenya | operation insert count 7 | operation find count = 21
Onthatile Abrahams | operation insert count 7 | operation find count = 17
Katlego Peter | operation insert count 7 | operation find count = 11
Caleb Modise | operation insert count 7 | operation find count = 21
Esihle Jack | operation insert count 8 | operation find count = 11
Enzokuhle Buthelezi | operation insert count 7 | operation find count = 15
Esihle Jacobs | operation insert count 8 | operation find count = 13
Bokang Daniels | operation insert count 7 | operation find count = 17
Kamogelo Maseko | operation insert count 7 | operation find count = 13
Othalive Petersen | operation insert count 7 | operation find count = 19
Olothando Olyn | operation insert count 7 | operation find count = 15
Thandolwethu Dyantyi | operation insert count 6 | operation find count = 19
Angel Nkosi | operation insert count 7 | operation find count = 15
Letlotlo Maluleke | operation insert count 8 | operation find count = 17
Amogelang Moeng | operation insert count 8 | operation find count = 15
Esihle Mahlangu | operation insert count 7 | operation find count = 13
Omphile Adams | operation insert count 7 | operation find count = 15
Iminathi Louw | operation insert count 8 | operation find count = 17
Amogelang Khoza | operation insert count 8 | operation find count = 15
Caleb Mahlangu | operation insert count 8 | operation find count = 21
Hlelokuhle Louw | operation insert count 9 | operation find count = 15
Junior Abrahams | operation insert count 7 | operation find count = 19
Lethokuhle Mkhize | operation insert count 8 | operation find count = 17
Leah Mathebula | operation insert count 8 | operation find count = 9
Joshua Mnisi | operation insert count 9 | operation find count = 21
Mpho Moloi | operation insert count 8 | operation find count = 13
Katlego Motloung | operation insert count 7 | operation find count = 19
Tshegofatso Buthelezi | operation insert count 7 | operation find count = 13
Lebogang Mofokeng | operation insert count 8 | operation find count = 19
Caleb Visagie | operation insert count 6 | operation find count = 15
Iminathi Buthelezi | operation insert count 8 | operation find count = 11
Luthando Booi | operation insert count 7 | operation find count = 11
Jayden Cloete | operation insert count 8 | operation find count = 13
Tshegofatso Chauke | operation insert count 8 | operation find count = 15
Bayanda Khumalo | operation insert count 9 | operation find count = 19
Leah Mathebula | operation insert count 8 | operation find count = 9
Thato Mnisi | operation insert count 9 | operation find count = 15
Bokang Radebe | operation insert count 8 | operation find count = 13
Amohelang Tshabalala | operation insert count 7 | operation find count = 17
Reneilwe Malatji | operation insert count 8 | operation find count = 17
Thandolwethu Mathebula | operation insert count 8 | operation find count = 15
Enzokuhle Nhlapo | operation insert count 7 | operation find count = 13
Noah Maluleke | operation insert count 9 | operation find count = 19
Noah Tsotetsi | operation insert count 7 | operation find count = 17
Asemahle Petersen | operation insert count 8 | operation find count = 15
Thandolwethu Dyantyi | operation insert count 7 | operation find count = 17
Bokamoso Motaung | operation insert count 7 | operation find count = 19
Reatlegile Hendricks | operation insert count 8 | operation find count = 19
Leano Mosia | operation insert count 8 | operation find count = 23
Karabo Molefe | operation insert count 9 | operation find count = 15
Katleho Booysen | operation insert count 8 | operation find count = 21
Iminathi Booi | operation insert count 8 | operation find count = 15
Rorisang Klaas | operation insert count 9 | operation find count = 15
Amogelang Dyantyi | operation insert count 6 | operation find count = 17
Rethabile Booi | operation insert count 8 | operation find count = 21
Luphawu Booysen | operation insert count 9 | operation find count = 15
Lethokuhle Gumede | operation insert count 7 | operation find count = 19
Oratilwe Dlamini | operation insert count 8 | operation find count = 17
Lebogang Buthelezi | operation insert count 8 | operation find count = 13
Katlego Mohlala | operation insert count 8 | operation find count = 15
Luke Hendricks | operation insert count 7 | operation find count = 19
Bandile Nkosi | operation insert count 8 | operation find count = 17
Hlelokuhle Cloete | operation insert count 8 | operation find count = 17
Olerato Sithole | operation insert count 7 | operation find count = 15
Ayabonga Buthelezi | operation insert count 7 | operation find count = 19
Lisakhanya Malatji | operation insert count 9 | operation find count = 21
Enzokuhle Mudau | operation insert count 8 | operation find count = 13
Faith Ngobeni | operation insert count 8 | operation find count = 17
Rorisang Louw | operation insert count 8 | operation find count = 13
Lethabo Petersen | operation insert count 8 | operation find count = 13
Luphawu Ngobeni | operation insert count 8 | operation find count = 19
Bokang Modise | operation insert count 9 | operation find count = 19
Melokuhle Motloung | operation insert count 7 | operation find count = 17
Bayanda Jacobs | operation insert count 9 | operation find count = 19
Minenhle Mokoena | operation insert count 9 | operation find count = 19
Naledi Mthembu | operation insert count 8 | operation find count = 17
Relebohile Jack | operation insert count 8 | operation find count = 15
Bokamoso Nkosi | operation insert count 8 | operation find count = 17
Alunamda Mogale | operation insert count 9 | operation find count = 15
Karabo Booi | operation insert count 8 | operation find count = 17
Joshua Mudau | operation insert count 9 | operation find count = 17
Reneilwe Motaung | operation insert count 8 | operation find count = 13
Caleb Maluleke | operation insert count 9 | operation find count = 21
Tshegofatso Mosia | operation insert count 7 | operation find count = 19
Oratilwe Moloi | operation insert count 9 | operation find count = 17
Junior Radebe | operation insert count 8 | operation find count = 15
Angel Mokoena | operation insert count 9 | operation find count = 15
Kungawo Cloete | operation insert count 8 | operation find count = 19
Hlelokuhle Mthembu | operation insert count 8 | operation find count = 11
Kamohelo Nkuna | operation insert count 7 | operation find count = 15
Iminathi Radebe | operation insert count 9 | operation find count = 19
Liam Daniels | operation insert count 7 | operation find count = 17
Khayone Ngwenya | operation insert count 8 | operation find count = 21
Kungawo Maluleke | operation insert count 10 | operation find count = 11
Philasande Mosia | operation insert count 8 | operation find count = 15
Leano Ngobeni | operation insert count 8 | operation find count = 17
Oratile Klaas | operation insert count 9 | operation find count = 19
Naledi Klaas | operation insert count 9 | operation find count = 13
Bandile Witbooi | operation insert count 7 | operation find count = 17
Karabo Louw | operation insert count 8 | operation find count = 17
Esihle Jacobs | operation insert count 9 | operation find count = 19
Omphile Jacobs | operation insert count 9 | operation find count = 19
Angel Mogale | operation insert count 9 | operation find count = 17
Philasande Daniels | operation insert count 6 | operation find count = 15
Banele Hendricks | operation insert count 8 | operation find count = 11
Olerato Smith | operation insert count 7 | operation find count = 13
Blessing Dlamini | operation insert count 9 | operation find count = 15
Katlego Nkuna | operation insert count 7 | operation find count = 17
Olothando Booi | operation insert count 9 | operation find count = 17
Jayden Dyantyi | operation insert count 8 | operation find count = 13
Joshua Khumalo | operation insert count 7 | operation find count = 19
Lebogang Nhlapo | operation insert count 8 | operation find count = 15
Lesedi Hendricks | operation insert count 8 | operation find count = 13
Omaatla Hendricks | operation insert count 8 | operation find count = 15
Remofilwe Jack | operation insert count 9 | operation find count = 21
Reatlegile Madikizela | operation insert count 9 | operation find count = 19
Lethokuhle Chauke | operation insert count 8 | operation find count = 17
Rethabile Dlamini | operation insert count 2 | operation find count = 5
Lethabo Buthelezi | operation insert count 8 | operation find count = 17
Emihle Mthembu | operation insert count 9 | operation find count = 17
Sphesihle Shabangu | operation insert count 8 | operation find count = 17
Amogelang Sithole | operation insert count 7 | operation find count = 11
Lingomso Motloung | operation insert count 8 | operation find count = 15
Iminathi Daniels | operation insert count 8 | operation find count = 13
Reatlegile Mosia | operation insert count 9 | operation find count = 17
Joshua Tsotetsi | operation insert count 7 | operation find count = 17
Siyabonga Davids | operation insert count 8 | operation find count = 19
Reatlegile Mahlangu | operation insert count 8 | operation find count = 13
Ofentse Gumede | operation insert count 10 | operation find count = 13
Othalive Olyn | operation insert count 9 | operation find count = 13
Othalive Mosia | operation insert count 8 | operation find count = 19
Ava Maseko | operation insert count 9 | operation find count = 19
Lethokuhle Nkosi | operation insert count 8 | operation find count = 17
Alunamda Davids | operation insert count 7 | operation find count = 11
Sphesihle Mudau | operation insert count 9 | operation find count = 19
Melokuhle Booi | operation insert count 9 | operation find count = 19
Alwande Jack | operation insert count 9 | operation find count = 19
Sphesihle Nhlapo | operation insert count 8 | operation find count = 17
Kungawo Baloyi | operation insert count 8 | operation find count = 17
Lesedi Visagie | operation insert count 6 | operation find count = 17
Lwandle Dlamini | operation insert count 9 | operation find count = 15
Bokang Petersen | operation insert count 8 | operation find count = 13
Omphile Hendricks | operation insert count 8 | operation find count = 19
Liam Jack | operation insert count 9 | operation find count = 15
Siphesihle Mudau | operation insert count 9 | operation find count = 19
Enzokuhle Dyantyi | operation insert count 9 | operation find count = 19
Phenyo Moloi | operation insert count 10 | operation find count = 19
Mpho Abrahams | operation insert count 7 | operation find count = 19
Bokamoso Witbooi | operation insert count 8 | operation find count = 15
Jayden Mthembu | operation insert count 7 | operation find count = 17
Siyabonga Mudau | operation insert count 10 | operation find count = 21
Leano Jack | operation insert count 10 | operation find count = 17
Caleb Mofokeng | operation insert count 9 | operation find count = 19
Kamogelo Ndlovu | operation insert count 9 | operation find count = 15
Thato Shabangu | operation insert count 8 | operation find count = 19
Leano Louw | operation insert count 9 | operation find count = 15
Noah Molefe | operation insert count 10 | operation find count = 17
Emihle Modise | operation insert count 8 | operation find count = 19
Onthatile Modise | operation insert count 9 | operation find count = 19
Lingomso Booysen | operation insert count 9 | operation find count = 17
Mia Moeng | operation insert count 9 | operation find count = 17
Thandolwethu Maseko | operation insert count 9 | operation find count = 21
Warona Petersen | operation insert count 8 | operation find count = 15
Amohelang Olyn | operation insert count 9 | operation find count = 19
Naledi Mnisi | operation insert count 9 | operation find count = 21
Kamohelo Witbooi | operation insert count 8 | operation find count = 15
Luke Peter | operation insert count 8 | operation find count = 9
Ava Mkhize | operation insert count 9 | operation find count = 15
Reatlegile Mosia | operation insert count 9 | operation find count = 17
Remofilwe Williams | operation insert count 8 | operation find count = 15
Siphesihle Nkosi | operation insert count 8 | operation find count = 19
Iminathi Buthelezi | operation insert count 8 | operation find count = 11
Aphelele Mthembu | operation insert count 9 | operation find count = 13
Othalive Jacobs | operation insert count 10 | operation find count = 15
Omaatla Chauke | operation insert count 9 | operation find count = 19
Aphelele Mathebula | operation insert count 9 | operation find count = 17
Luphawu Jack | operation insert count 8 | operation find count = 17
Lethabo Smith | operation insert count 7 | operation find count = 17
Olerato Ngobeni | operation insert count 8 | operation find count = 21
Kamohelo Shabangu | operation insert count 8 | operation find count = 15
Esihle Gumede | operation insert count 8 | operation find count = 19
Lesedi Jack | operation insert count 9 | operation find count = 19
Enzokuhle Moeng | operation insert count 10 | operation find count = 19
Phenyo Beukes | operation insert count 8 | operation find count = 21
Leah Mathebula | operation insert count 8 | operation find count = 9
Tshegofatso Motaung | operation insert count 8 | operation find count = 17
Isabella Mohlala | operation insert count 8 | operation find count = 19
Reatlegile Mofokeng | operation insert count 10 | operation find count = 21
Enzokuhle Mudau | operation insert count 9 | operation find count = 21
Isabella Baloyi | operation insert count 9 | operation find count = 11
Karabo Maseko | operation insert count 9 | operation find count = 19
Mia Buthelezi | operation insert count 9 | operation find count = 15
Isabella Abrahams | operation insert count 8 | operation find count = 15
Joshua Modise | operation insert count 9 | operation find count = 21
Melokuhle Gumede | operation insert count 6 | operation find count = 15
Amohelang Sithole | operation insert count 9 | operation find count = 17
Katlego Moloi | operation insert count 8 | operation find count = 17
Amogelang Ngwenya | operation insert count 7 | operation find count = 19
Khayone Nhlapo | operation insert count 7 | operation find count = 17
Bonolo Davids | operation insert count 8 | operation find count = 15
Remofilwe Khoza | operation insert count 9 | operation find count = 11
Melokuhle Louw | operation insert count 8 | operation find count = 11
Reneilwe Madikizela | operation insert count 9 | operation find count = 17
Lubanzi Nkuna | operation insert count 7 | operation find count = 15
Lethabo Olyn | operation insert count 9 | operation find count = 21
Katleho Olyn | operation insert count 9 | operation find count = 19
Olerato Hendricks | operation insert count 8 | operation find count = 19
Siyabonga Booysen | operation insert count 9 | operation find count = 17
Omolemo Nkosi | operation insert count 9 | operation find count = 13
Siphesihle Mahlangu | operation insert count 9 | operation find count = 19
Omaatla Mogale | operation insert count 8 | operation find count = 15
Nkosenhle Van | operation insert count 7 | operation find count = 13
Amahle Jacobs | operation insert count 9 | operation find count = 15
Alunamda Khoza | operation insert count 9 | operation find count = 17
Karabo Visagie | operation insert count 8 | operation find count = 15
Ofentse Mohlala | operation insert count 10 | operation find count = 17
Relebohile Sithole | operation insert count 8 | operation find count = 15
Lethabo Mahlangu | operation insert count 9 | operation find count = 19
Mpho Booi | operation insert count 9 | operation find count = 17
Emihle Madikizela | operation insert count 10 | operation find count = 15
Siphosethu Mthembu | operation insert count 8 | operation find count = 19
Kamogelo Dlamini | operation insert count 10 | operation find count = 11
Melokuhle Peter | operation insert count 9 | operation find count = 15
Amogelang Nhlapo | operation insert count 9 | operation find count = 17
Elijah Peter | operation insert count 8 | operation find count = 17
Thandolwethu Hendricks | operation insert count 10 | operation find count = 19
Luphawu Ngcobo | operation insert count 7 | operation find count = 19
Katlego Moloi | operation insert count 8 | operation find count = 17
Bayanda Nkuna | operation insert count 5 | operation find count = 11
Alunamda Van | operation insert count 8 | operation find count = 11
Onthatile Modise | operation insert count 10 | operation find count = 15
Othalive Motaung | operation insert count 8 | operation find count = 17
Caleb Ndou | operation insert count 8 | operation find count = 13
Ava Mohlala | operation insert count 9 | operation find count = 17
Lethabo Tshabalala | operation insert count 9 | operation find count = 11
Khayone Baloyi | operation insert count 9 | operation find count = 21
Enzokuhle Madikizela | operation insert count 10 | operation find count = 17
Lwandle Booi | operation insert count 8 | operation find count = 21
Lethokuhle Radebe | operation insert count 8 | operation find count = 19
Amogelang Chauke | operation insert count 10 | operation find count = 19
Alunamda Van | operation insert count 8 | operation find count = 15
Omphile Dlamini | operation insert count 8 | operation find count = 15
Phenyo Mogale | operation insert count 9 | operation find count = 21
Iminathi Buthelezi | operation insert count 9 | operation find count = 17
Siphosethu Jacobs | operation insert count 10 | operation find count = 17
Mia Mkhize | operation insert count 10 | operation find count = 21
Naledi Tshabalala | operation insert count 10 | operation find count = 15
Karabo Mudau | operation insert count 9 | operation find count = 21
Lebogang Olyn | operation insert count 9 | operation find count = 19
Luphawu Tsotetsi | operation insert count 9 | operation find count = 13
Melokuhle Klaas | operation insert count 9 | operation find count = 19
Philasande Tshabalala | operation insert count 8 | operation find count = 15
Rorisang Sithole | operation insert count 9 | operation find count = 17
Bonolo Nhlapo | operation insert count 10 | operation find count = 19
Angel Khoza | operation insert count 8 | operation find count = 21
Rorisang Motloung | operation insert count 8 | operation find count = 19
Siphesihle Jacobs | operation insert count 10 | operation find count = 19
Banele Moloi | operation insert count 10 | operation find count = 15
Siphosethu Motaung | operation insert count 8 | operation find count = 19
Omphile Olyn | operation insert count 9 | operation find count = 19
Omaatla Mkhize | operation insert count 10 | operation find count = 19
Banele Moloi | operation insert count 10 | operation find count = 15
Kamogelo Shabangu | operation insert count 9 | operation find count = 17
Ofentse Mahlangu | operation insert count 10 | operation find count = 15
Karabo Khumalo | operation insert count 9 | operation find count = 15
Noah Baloyi | operation insert count 9 | operation find count = 15
Likuwe Williams | operation insert count 9 | operation find count = 13
Alwande Chauke | operation insert count 10 | operation find count = 21
Amogelang Radebe | operation insert count 8 | operation find count = 19
Onthatile Peter | operation insert count 9 | operation find count = 15
Asemahle Smith | operation insert count 9 | operation find count = 19
Onthatile Maluleke | operation insert count 10 | operation find count = 17
Luphawu Nkosi | operation insert count 9 | operation find count = 15
Katlego Beukes | operation insert count 9 | operation find count = 15
Tshegofatso Olyn | operation insert count 9 | operation find count = 17
Bonolo Mogale | operation insert count 10 | operation find count = 19
Mpho Beukes | operation insert count 9 | operation find count = 19
Amogelang Louw | operation insert count 9 | operation find count = 19
Phenyo Moloi | operation insert count 10 | operation find count = 19
Othalive Gumede | operation insert count 9 | operation find count = 17
Khayone Chauke | operation insert count 8 | operation find count = 19
Tshegofatso Malatji | operation insert count 10 | operation find count = 21
Katleho Buthelezi | operation insert count 9 | operation find count = 15
Karabo Moeng | operation insert count 10 | operation find count = 21
Luthando Peter | operation insert count 9 | operation find count = 17
Jayden Tshabalala | operation insert count 10 | operation find count = 19
Minenhle Buthelezi | operation insert count 9 | operation find count = 19
Emihle Petersen | operation insert count 9 | operation find count = 15
Katlego Mohlala | operation insert count 9 | operation find count = 19
Ofentse Mohlala | operation insert count 10 | operation find count = 17
Leano Maseko | operation insert count 10 | operation find count = 17
Mpho Beukes | operation insert count 10 | operation find count = 17
Mia Petersen | operation insert count 9 | operation find count = 13
Olothando Mathebula | operation insert count 7 | operation find count = 17
Kungawo Petersen | operation insert count 9 | operation find count = 15
Naledi Ngwenya | operation insert count 9 | operation find count = 17
Philasande Ngobeni | operation insert count 8 | operation find count = 15
Bokamoso Daniels | operation insert count 8 | operation find count = 15
Letlotlo Witbooi | operation insert count 9 | operation find count = 17
Oratilwe Petersen | operation insert count 9 | operation find count = 17
Alunamda Hendricks | operation insert count 9 | operation find count = 19
Lisakhanya Mohlala | operation insert count 10 | operation find count = 19
Noah Jack | operation insert count 6 | operation find count = 17
Karabo Mthembu | operation insert count 8 | operation find count = 17
Olothando Klaas | operation insert count 9 | operation find count = 19
Bonolo Hendricks | operation insert count 9 | operation find count = 17
Siphesihle Mokoena | operation insert count 10 | operation find count = 13
Isabella Abrahams | operation insert count 9 | operation find count = 19
Angel Louw | operation insert count 9 | operation find count = 19
Onthatile Motaung | operation insert count 7 | operation find count = 15
Iminathi Cloete | operation insert count 8 | operation find count = 19
Luthando Jack | operation insert count 7 | operation find count = 13
Kungawo Buthelezi | operation insert count 9 | operation find count = 17
Isabella Visagie | operation insert count 6 | operation find count = 11
Asemahle Molefe | operation insert count 11 | operation find count = 19
Mia Buthelezi | operation insert count 9 | operation find count = 15
Leano Motloung | operation insert count 8 | operation find count = 19
Bokamoso Williams | operation insert count 9 | operation find count = 15
Omaatla Dlamini | operation insert count 9 | operation find count = 17
Blessing Louw | operation insert count 9 | operation find count = 17
Lesedi Ndlovu | operation insert count 8 | operation find count = 17
Leah Nhlapo | operation insert count 9 | operation find count = 19
Okuhle Buthelezi | operation insert count 10 | operation find count = 17
Lebogang Adams | operation insert count 7 | operation find count = 13
Thato Madikizela | operation insert count 9 | operation find count = 21
Lingomso Moloi | operation insert count 10 | operation find count = 19
Kungawo Witbooi | operation insert count 9 | operation find count = 17
Lubanzi Mofokeng | operation insert count 11 | operation find count = 17
Elijah Mahlangu | operation insert count 9 | operation find count = 19
Olerato Shabangu | operation insert count 9 | operation find count = 17
Aphelele Moeng | operation insert count 10 | operation find count = 23
Junior Visagie | operation insert count 9 | operation find count = 17
Omphile Jack | operation insert count 9 | operation find count = 19
Jayden Mathebula | operation insert count 9 | operation find count = 15
Thato Modise | operation insert count 10 | operation find count = 21
Joshua Baloyi | operation insert count 9 | operation find count = 19
Rethabile Mudau | operation insert count 10 | operation find count = 21
Banele Khumalo | operation insert count 9 | operation find count = 21
Thandolwethu Mathebula | operation insert count 8 | operation find count = 15
Lethabo Mathebula | operation insert count 7 | operation find count = 17
Lingomso Dyantyi | operation insert count 9 | operation find count = 15
Naledi Davids | operation insert count 9 | operation find count = 19
Aphelele Ngwenya | operation insert count 7 | operation find count = 21
Lubanzi Mofokeng | operation insert count 11 | operation find count = 17
Iminathi Mogale | operation insert count 10 | operation find count = 21
Mpho Booi | operation insert count 9 | operation find count = 17
Alunamda Booi | operation insert count 10 | operation find count = 19
Luke Madikizela | operation insert count 7 | operation find count = 19
Naledi Gumede | operation insert count 9 | operation find count = 19
Melokuhle Van | operation insert count 8 | operation find count = 17
Philasande Mokoena | operation insert count 11 | operation find count = 21
Joshua Maseko | operation insert count 10 | operation find count = 19
Kamohelo Louw | operation insert count 9 | operation find count = 19
Reatlegile Modise | operation insert count 9 | operation find count = 21
Katlego Malatji | operation insert count 10 | operation find count = 17
Kamohelo Ngobeni | operation insert count 8 | operation find count = 19
Tshegofatso Ndou | operation insert count 8 | operation find count = 17
Likuwe Shabangu | operation insert count 9 | operation find count = 17
Melokuhle Ndou | operation insert count 9 | operation find count = 17
Omphile Sithole | operation insert count 9 | operation find count = 19
Noah Baloyi | operation insert count 9 | operation find count = 15
Omphile Nkosi | operation insert count 9 | operation find count = 17
Leah Smith | operation insert count 10 | operation find count = 19
Enzokuhle Hendricks | operation insert count 10 | operation find count = 17
Enzokuhle Mudau | operation insert count 8 | operation find count = 13
Ofentse Gumede | operation insert count 10 | operation find count = 13
